"","sample","UnifracW","Date"
"1","NSH01JUL08.R1",0.329852529411765,2008-07-01
"2","NSH01JUL08.R2",0.318916705882353,2008-07-01
"3","NSH01MAY08",0.360456117647059,2008-05-01
"4","NSH01NOV08",0.342325058823529,2008-11-01
"5","NSH02JUN08",0.332462117647059,2008-06-02
"6","NSH03JUL08.R1",0.365855058823529,2008-07-03
"7","NSH03JUL08.R2",0.356119,2008-07-03
"8","NSH03MAY08",0.356547352941176,2008-05-03
"9","NSH04AUG08",0.383532058823529,2008-08-04
"10","NSH04MAY08",0.357507352941176,2008-05-04
"11","NSH04OCT08",0.362548294117647,2008-10-04
"12","NSH05JUN08",0.386171470588235,2008-06-05
"13","NSH05MAY08",0.355285352941176,2008-05-05
"14","NSH06APR08",0.421713705882353,2008-04-06
"15","NSH07JUL08",0.351044235294118,2008-07-07
"16","NSH09JUN08",0.332836352941177,2008-06-09
"17","NSH09OCT08",0.363534117647059,2008-10-09
"18","NSH09SEP08",0.406399,2008-09-09
"19","NSH11AUG08",0.433974117647059,2008-08-11
"20","NSH11JUL08",0.245393647058823,2008-07-11
"21","NSH12JUL08",0.338744294117647,2008-07-12
"22","NSH13JUL08",0.354935,2008-07-13
"23","NSH14AUG08",0.403066294117647,2008-08-14
"24","NSH14JUL08",0.359201705882353,2008-07-14
"25","NSH15JUL08",0.331242588235294,2008-07-15
"26","NSH15SEP08",0.411059,2008-09-15
"27","NSH16JUL08",0.378112588235294,2008-07-16
"28","NSH17JUL08",0.369946764705882,2008-07-17
"29","NSH17JUN08",0.338967235294118,2008-06-17
"30","NSH18AUG08",0.370938823529412,2008-08-18
"31","NSH18JUL08",0.39887,2008-07-18
"32","NSH18OCT08",0.372382647058824,2008-10-18
"33","NSH19JUL08",0.365389,2008-07-19
"34","NSH20JUL08",0.434309117647059,2008-07-20
"35","NSH21AUG08",0.400229352941176,2008-08-21
"36","NSH21JUL08",0.430506352941176,2008-07-21
"37","NSH21MAY08",0.363388235294118,2008-05-21
"38","NSH21SEP08",0.333211235294118,2008-09-21
"39","NSH22JUL08",0.434726470588235,2008-07-22
"40","NSH23JUL08",0.414081058823529,2008-07-23
"41","NSH23JUN08",0.345433117647059,2008-06-23
"42","NSH23MAY08",0.350009058823529,2008-05-23
"43","NSH23OCT08",0.359386470588235,2008-10-23
"44","NSH24JUL08",0.437374764705882,2008-07-24
"45","NSH24MAR08",0.366409647058824,2008-03-24
"46","NSH26AUG08",0.376488411764706,2008-08-26
"47","NSH26JUN08",0.347165705882353,2008-06-26
"48","NSH27SEP08",0.378553235294118,2008-09-27
"49","NSH28JUL08",0.424377411764706,2008-07-28
"50","NSH28MAY08",0.344324882352941,2008-05-28
"51","NSH29APR08.R1",0.342241117647059,2008-04-29
"52","NSH29APR08.R2",0.349012058823529,2008-04-29
"53","NSH30APR08",0.362514588235294,2008-04-30
"54","NSH30JUL08",0.405221941176471,2008-07-30
"55","NSH30JUN08",0.423851764705882,2008-06-30
"56","NSH30MAY08",0.376518117647059,2008-05-30
"57","NSH31AUG08",0.379014176470588,2008-08-31
"58","NSH31JUL08",0.403411647058823,2008-07-31
